id,username,created_at,lng,lat,text
1517704877002031104,LUVBEA,Sat Apr 23 03:20:14 +0000 2022,-117.851089,33.842863,screaming crying throwing up punching the wall dragging my bare cooch across the floor
1517704876968407040,lululemonade0,Sat Apr 23 03:20:14 +0000 2022,-122.4359785,37.7706565,Slater had Roses (Imanbek Remix) playing.I said what I said.
1517704878587535361,TheCueve,Sat Apr 23 03:20:15 +0000 2022,-74.1880345,40.00134,Mets are scoring in weird ways and I love it
1517704878633766912,TheRealBratP,Sat Apr 23 03:20:15 +0000 2022,-84.433106,33.7671945,I miss my dog 😭
1517704878671335425,RealSpurnandez,Sat Apr 23 03:20:15 +0000 2022,-117.32087899999999,33.226316,@spursnsalsa @JoshySpeez @King_DripMex Stupid Bull Dogs now… 🤦🏻‍♂️ we’ll never acknowledge them as anything other than Apaches
1517704876838596609,SonsLegionRadio,Sat Apr 23 03:20:14 +0000 2022,-75.77004099999999,42.746617,Army Football Coach Jeff Monken comments Post 2022 Spring Game at Michie Stadium. Army Football Coach Jeff Monken C… https://t.co/hkaEK9vzzH
1517704879770198017,17frosted,Sat Apr 23 03:20:15 +0000 2022,-149.7587945,61.2350425,No. Just no. Think how much harder it will be to fight Russia the next time they decide they want a chunk of territ… https://t.co/TyAadhvnra
1517704882244960257,emuonyurshoe,Sat Apr 23 03:20:16 +0000 2022,-72.647523,42.223668,@DDRPeabody ISN'T IT BEAUTIFUL???
1517704884988088323,bolding_daniel,Sat Apr 23 03:20:16 +0000 2022,-80.926628,33.6311395,@iloveeverydoggy Of course they should!
1517704885537587200,Makyle_Ice,Sat Apr 23 03:20:16 +0000 2022,-75.117998,40.0048655,Kay Slay put together some great songs man https://t.co/pz5CV4QBFE
1517704886724349952,mightymo1961,Sat Apr 23 03:20:17 +0000 2022,-117.104989,32.810012,Wordle 307 3/6⬛🟨🟩⬛⬛🟨⬛🟩🟩⬛🟩🟩🟩🟩🟩
1517704885633961986,MrBuss_,Sat Apr 23 03:20:16 +0000 2022,-97.552161,35.4828435,Me after that #ItsAlmostDry https://t.co/5uVr4vQvPl
1517704886871371777,kimberlin82,Sat Apr 23 03:20:17 +0000 2022,-122.63146217,45.49922514,"I wanted to take a picture of Libby and she moved out of the way right as it took. @ Southeast Portland, Portland https://t.co/wV6xLboEBZ"
1517704888662347776,AddamFrancisco,Sat Apr 23 03:20:17 +0000 2022,-97.552161,35.4828435,@TheTraeYoung Proud bro. Just proud.
1517704888809046016,TheRealXMoney,Sat Apr 23 03:20:17 +0000 2022,-95.44648649999999,29.838495,@elonmusk @engineers_feed Cool. I am with it. https://t.co/ZCtcx97aMc
1517704889278816257,houndheavenTN,Sat Apr 23 03:20:17 +0000 2022,-84.25645800000001,36.0180115,Jake and Elwood!🥰🥰
1517704889484210176,TheBossCutty,Sat Apr 23 03:20:17 +0000 2022,-119.30660750000001,37.2691755,"@HarleyVasquez If you have nothing nice to say, don’t say anything at all 🐰😉 https://t.co/XJUW2ZoLSu"
1517704889110917120,blackcelebrantt,Sat Apr 23 03:20:17 +0000 2022,-117.91759,33.80664,Completely satisfying @ImpossibleFoods 🌱🌱🌱 https://t.co/yxhyQphseY
1517704891204096005,PGDHanson,Sat Apr 23 03:20:18 +0000 2022,-98.319925,38.498196,@UrsaBearwalker You should catch up with my top 20 cards :)
